similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.0,0.7,60000,60000,NO FILTER,3321.166,2.336,115.465,3055067,3055067
0.0,0.75,60000,60000,NO FILTER,1997.976,2.336,115.465,2321584,2321584
0.0,0.8,60000,60000,NO FILTER,1226.647,2.336,115.465,1265300,1265300
0.0,0.85,60000,60000,NO FILTER,530.302,2.336,115.465,642202,642202
0.0,0.7,60000,60000,CHECK FILTER,3766.567,2.336,115.465,3055067,2464704
0.0,0.75,60000,60000,CHECK FILTER,2241.664,2.336,115.465,2321584,1780582
0.0,0.8,60000,60000,CHECK FILTER,1371.372,2.336,115.465,1265300,936432
0.0,0.85,60000,60000,CHECK FILTER,2052.574,2.336,115.465,642202,523745
0.0,0.7,60000,60000,NN FILTER,1752.545,2.336,115.465,3055067,0
0.0,0.75,60000,60000,NN FILTER,1410.607,2.336,115.465,2321584,0
0.0,0.8,60000,60000,NN FILTER,817.098,2.336,115.465,1265300,0
0.0,0.85,60000,60000,NN FILTER,450.277,2.336,115.465,642202,0
0.25,0.7,60000,60000,NO FILTER,4295.794,2.336,115.465,3055067,3055067
0.25,0.75,60000,60000,NO FILTER,1973.377,2.336,115.465,2321584,2321584
0.25,0.8,60000,60000,NO FILTER,1212.983,2.336,115.465,1265300,1265300
0.25,0.85,60000,60000,NO FILTER,522.616,2.336,115.465,642202,642202
0.25,0.7,60000,60000,CHECK FILTER,3200.851,2.336,115.465,3055067,2455726
0.25,0.75,60000,60000,CHECK FILTER,1889.267,2.336,115.465,2321584,1770634
0.25,0.8,60000,60000,CHECK FILTER,1147.932,2.336,115.465,1265300,928712
0.25,0.85,60000,60000,CHECK FILTER,498.44,2.336,115.465,642202,522759
0.25,0.7,60000,60000,NN FILTER,122.104,2.336,115.465,3055067,0
0.25,0.75,60000,60000,NN FILTER,88.259,2.336,115.465,2321584,0
0.25,0.8,60000,60000,NN FILTER,49.714,2.336,115.465,1265300,0
0.25,0.85,60000,60000,NN FILTER,23.838,2.336,115.465,642202,0
0.5,0.7,60000,60000,NO FILTER,3272.056,2.336,115.465,3055067,3055067
0.5,0.75,60000,60000,NO FILTER,1961.328,2.336,115.465,2321584,2321584
0.5,0.8,60000,60000,NO FILTER,1200.994,2.336,115.465,1265300,1265300
0.5,0.85,60000,60000,NO FILTER,511.108,2.336,115.465,642202,642202
0.5,0.7,60000,60000,CHECK FILTER,3183.991,2.336,115.465,3055067,2437997
0.5,0.75,60000,60000,CHECK FILTER,1875.468,2.336,115.465,2321584,1756738
0.5,0.8,60000,60000,CHECK FILTER,1137.157,2.336,115.465,1265300,918967
0.5,0.85,60000,60000,CHECK FILTER,488.508,2.336,115.465,642202,517859
0.5,0.7,60000,60000,NN FILTER,120.567,2.336,115.465,3055067,0
0.5,0.75,60000,60000,NN FILTER,87.173,2.336,115.465,2321584,0
0.5,0.8,60000,60000,NN FILTER,49.292,2.336,115.465,1265300,0
0.5,0.85,60000,60000,NN FILTER,23.97,2.336,115.465,642202,0
0.75,0.7,60000,60000,NO FILTER,3085.617,2.336,115.465,3055067,3055067
0.75,0.75,60000,60000,NO FILTER,1788.559,2.336,115.465,2321584,2321584
0.75,0.8,60000,60000,NO FILTER,1046.714,2.336,115.465,1265300,1265300
0.75,0.85,60000,60000,NO FILTER,481.793,2.336,115.465,642202,642202
0.75,0.7,60000,60000,CHECK FILTER,2991.745,2.336,115.465,3055067,2428269
0.75,0.75,60000,60000,CHECK FILTER,1699.433,2.336,115.465,2321584,1750589
0.75,0.8,60000,60000,CHECK FILTER,983.657,2.336,115.465,1265300,916628
0.75,0.85,60000,60000,CHECK FILTER,458.081,2.336,115.465,642202,516012
0.75,0.7,60000,60000,NN FILTER,119.557,2.336,115.465,3055067,0
0.75,0.75,60000,60000,NN FILTER,86.338,2.336,115.465,2321584,0
0.75,0.8,60000,60000,NN FILTER,48.63,2.336,115.465,1265300,0
0.75,0.85,60000,60000,NN FILTER,23.63,2.336,115.465,642202,0
