similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.0,0.7,200,500000,NO FILTER,7233.698,48.369,7702.707,622080,622080
0.0,0.75,200,500000,NO FILTER,6542.885,48.369,7702.707,575078,575078
0.0,0.8,200,500000,NO FILTER,4467.07,48.369,7702.707,479650,479650
0.0,0.85,200,500000,NO FILTER,3806.437,48.369,7702.707,423078,423078
0.0,0.7,200,500000,CHECK FILTER,3524.93,48.369,7702.707,622080,589307
0.0,0.75,200,500000,CHECK FILTER,2906.391,48.369,7702.707,575078,549687
0.0,0.8,200,500000,CHECK FILTER,2172.366,48.369,7702.707,479650,438680
0.0,0.85,200,500000,CHECK FILTER,1670.105,48.369,7702.707,423078,393028
0.0,0.7,200,500000,NN FILTER,355.235,48.369,7702.707,622080,239463
0.0,0.75,200,500000,NN FILTER,326.201,48.369,7702.707,575078,226838
0.0,0.8,200,500000,NN FILTER,315.473,48.369,7702.707,479650,223070
0.0,0.85,200,500000,NN FILTER,278.255,48.369,7702.707,423078,207727
0.25,0.7,200,500000,NO FILTER,1924.714,48.369,7702.707,622080,622080
0.25,0.75,200,500000,NO FILTER,1679.901,48.369,7702.707,575078,575078
0.25,0.8,200,500000,NO FILTER,1405.855,48.369,7702.707,479650,479650
0.25,0.85,200,500000,NO FILTER,1248.443,48.369,7702.707,423078,423078
0.25,0.7,200,500000,CHECK FILTER,1639.316,48.369,7702.707,622080,589307
0.25,0.75,200,500000,CHECK FILTER,1427.038,48.369,7702.707,575078,549687
0.25,0.8,200,500000,CHECK FILTER,1168.827,48.369,7702.707,479650,438680
0.25,0.85,200,500000,CHECK FILTER,1012.946,48.369,7702.707,423078,393028
0.25,0.7,200,500000,NN FILTER,350.156,48.369,7702.707,622080,239463
0.25,0.75,200,500000,NN FILTER,322.124,48.369,7702.707,575078,226838
0.25,0.8,200,500000,NN FILTER,295.661,48.369,7702.707,479650,223070
0.25,0.85,200,500000,NN FILTER,288.718,48.369,7702.707,423078,207727
0.5,0.7,200,500000,NO FILTER,1531.146,48.369,7702.707,622080,622080
0.5,0.75,200,500000,NO FILTER,1359.787,48.369,7702.707,575078,575078
0.5,0.8,200,500000,NO FILTER,1138.272,48.369,7702.707,479650,479650
0.5,0.85,200,500000,NO FILTER,987.653,48.369,7702.707,423078,423078
0.5,0.7,200,500000,CHECK FILTER,1314.256,48.369,7702.707,622080,589307
0.5,0.75,200,500000,CHECK FILTER,1162.282,48.369,7702.707,575078,549687
0.5,0.8,200,500000,CHECK FILTER,938.025,48.369,7702.707,479650,438680
0.5,0.85,200,500000,CHECK FILTER,819.511,48.369,7702.707,423078,393028
0.5,0.7,200,500000,NN FILTER,348.949,48.369,7702.707,622080,239463
0.5,0.75,200,500000,NN FILTER,320.583,48.369,7702.707,575078,226838
0.5,0.8,200,500000,NN FILTER,294.834,48.369,7702.707,479650,223070
0.5,0.85,200,500000,NN FILTER,273.301,48.369,7702.707,423078,207727
0.75,0.7,200,500000,NO FILTER,1337.264,48.369,7702.707,622080,622080
0.75,0.75,200,500000,NO FILTER,1159.769,48.369,7702.707,575078,575078
0.75,0.8,200,500000,NO FILTER,938.174,48.369,7702.707,479650,479650
0.75,0.85,200,500000,NO FILTER,816.66,48.369,7702.707,423078,423078
0.75,0.7,200,500000,CHECK FILTER,1115.511,48.369,7702.707,622080,589307
0.75,0.75,200,500000,CHECK FILTER,956.779,48.369,7702.707,575078,549687
0.75,0.8,200,500000,CHECK FILTER,768.843,48.369,7702.707,479650,438680
0.75,0.85,200,500000,CHECK FILTER,624.978,48.369,7702.707,423078,393028
0.75,0.7,200,500000,NN FILTER,349.762,48.369,7702.707,622080,239463
0.75,0.75,200,500000,NN FILTER,307.67,48.369,7702.707,575078,226838
0.75,0.8,200,500000,NN FILTER,282.307,48.369,7702.707,479650,223070
0.75,0.85,200,500000,NN FILTER,261.391,48.369,7702.707,423078,207727
