similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.0,0.7,200,500000,REDUCTION,6283.871,45.782,7700.914,622080,622080
0.0,0.75,200,500000,REDUCTION,5651.069,45.782,7700.914,575078,575078
0.0,0.8,200,500000,REDUCTION,4170.768,45.782,7700.914,479650,479650
0.0,0.85,200,500000,REDUCTION,3514.723,45.782,7700.914,423078,423078
0.0,0.7,200,500000,NO REDUCTION,6771.001,45.782,7700.914,622080,622080
0.0,0.75,200,500000,NO REDUCTION,6117.305,45.782,7700.914,575078,575078
0.0,0.8,200,500000,NO REDUCTION,4573.585,45.782,7700.914,479650,479650
0.0,0.85,200,500000,NO REDUCTION,3894.681,45.782,7700.914,423078,423078
0.0,0.7,200,500000,REDUCTION,6142.242,49.376,7721.383,622080,622080
0.0,0.75,200,500000,REDUCTION,5495.346,49.376,7721.383,575078,575078
0.0,0.8,200,500000,REDUCTION,4061.815,49.376,7721.383,479650,479650
0.0,0.85,200,500000,REDUCTION,3429.474,49.376,7721.383,423078,423078
0.0,0.7,200,500000,NO REDUCTION,6622.959,49.376,7721.383,622080,622080
0.0,0.75,200,500000,NO REDUCTION,5960.971,49.376,7721.383,575078,575078
0.0,0.8,200,500000,NO REDUCTION,4489.11,49.376,7721.383,479650,479650
0.0,0.85,200,500000,NO REDUCTION,3794.505,49.376,7721.383,423078,423078
