similarity_threshold,related_threshold,reference_set_amount,source_set_amount,set_size,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.5,0.7,200,100000,100000,69.222,11.405,1554.535,134576,46830
0.5,0.7,200,200000,200000,134.718,23.409,1659.543,254379,93573
0.5,0.7,200,300000,300000,206.136,32.782,1791.512,373007,139377
0.5,0.7,200,400000,400000,275.559,51.827,2040.961,499998,186205
0.5,0.7,200,500000,500000,353.944,51.169,2027.262,622080,233091
0.5,0.75,200,100000,100000,64.988,5.539,0.254,124611,45115
0.5,0.75,200,200000,200000,126.721,24.159,192.152,236137,90048
0.5,0.75,200,300000,300000,193.126,32.91,2217.562,347108,134199
0.5,0.75,200,400000,400000,259.254,50.945,1535.723,462815,179223
0.5,0.75,200,500000,500000,328.0,59.734,2526.176,575078,224315
0.5,0.8,200,100000,100000,59.984,5.544,0.77,104812,44549
0.5,0.8,200,200000,200000,123.595,23.419,-229.445,202489,88907
0.5,0.8,200,300000,300000,183.55,37.277,2302.273,300462,132525
0.5,0.8,200,400000,400000,239.431,45.86,1268.406,386895,176985
0.5,0.8,200,500000,500000,311.525,58.657,2716.348,479650,221057
0.5,0.85,200,100000,100000,56.371,9.486,-151.641,87451,39657
0.5,0.85,200,200000,200000,108.674,23.698,-889.457,171938,79056
0.5,0.85,200,300000,300000,164.616,33.799,2748.523,251392,117969
0.5,0.85,200,400000,400000,220.908,45.263,805.023,331901,157572
0.5,0.85,200,500000,500000,281.56,65.197,3474.547,423078,197145
