similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.0,0.7,200,500000,SigType.WEIGHTED,6915.71,47.599,7701.59,622080,622080
0.0,0.75,200,500000,SigType.WEIGHTED,6230.769,47.599,7701.59,575078,575078
0.0,0.8,200,500000,SigType.WEIGHTED,4633.178,47.599,7701.59,479650,479650
0.0,0.85,200,500000,SigType.WEIGHTED,3948.011,47.599,7701.59,423078,423078
0.0,0.7,200,500000,SigType.SKYLINE,6839.554,47.599,7701.59,622080,622080
0.0,0.75,200,500000,SigType.SKYLINE,6156.19,47.599,7701.59,575078,575078
0.0,0.8,200,500000,SigType.SKYLINE,4601.987,47.599,7701.59,479650,479650
0.0,0.85,200,500000,SigType.SKYLINE,3921.286,47.599,7701.59,423078,423078
0.0,0.7,200,500000,SigType.DICHOTOMY,6824.442,47.599,7701.59,622080,622080
0.0,0.75,200,500000,SigType.DICHOTOMY,6158.089,47.599,7701.59,575078,575078
0.0,0.8,200,500000,SigType.DICHOTOMY,4601.877,47.599,7701.59,479650,479650
0.0,0.85,200,500000,SigType.DICHOTOMY,3923.695,47.599,7701.59,423078,423078
0.25,0.7,200,500000,SigType.WEIGHTED,1990.666,47.599,7701.59,622080,622080
0.25,0.75,200,500000,SigType.WEIGHTED,1722.451,47.599,7701.59,575078,575078
0.25,0.8,200,500000,SigType.WEIGHTED,1438.235,47.599,7701.59,479650,479650
0.25,0.85,200,500000,SigType.WEIGHTED,1264.852,47.599,7701.59,423078,423078
0.25,0.7,200,500000,SigType.SKYLINE,1989.546,47.599,7701.59,622080,622080
0.25,0.75,200,500000,SigType.SKYLINE,1719.169,47.599,7701.59,575078,575078
0.25,0.8,200,500000,SigType.SKYLINE,1440.077,47.599,7701.59,479650,479650
0.25,0.85,200,500000,SigType.SKYLINE,1267.701,47.599,7701.59,423078,423078
0.25,0.7,200,500000,SigType.DICHOTOMY,2046.949,47.599,7701.59,622270,622270
0.25,0.75,200,500000,SigType.DICHOTOMY,1966.499,47.599,7701.59,575268,575268
0.25,0.8,200,500000,SigType.DICHOTOMY,1485.458,47.599,7701.59,479650,479650
0.25,0.85,200,500000,SigType.DICHOTOMY,1436.847,47.599,7701.59,423078,423078
0.5,0.7,200,500000,SigType.WEIGHTED,1767.439,47.599,7701.59,622080,622080
0.5,0.75,200,500000,SigType.WEIGHTED,1565.259,47.599,7701.59,575078,575078
0.5,0.8,200,500000,SigType.WEIGHTED,1160.579,47.599,7701.59,479650,479650
0.5,0.85,200,500000,SigType.WEIGHTED,1014.452,47.599,7701.59,423078,423078
0.5,0.7,200,500000,SigType.SKYLINE,1589.081,47.599,7701.59,622054,622054
0.5,0.75,200,500000,SigType.SKYLINE,1393.117,47.599,7701.59,575050,575050
0.5,0.8,200,500000,SigType.SKYLINE,1154.931,47.599,7701.59,479622,479622
0.5,0.85,200,500000,SigType.SKYLINE,1025.061,47.599,7701.59,423078,423078
0.5,0.7,200,500000,SigType.DICHOTOMY,2777.528,47.599,7701.59,936785,936785
0.5,0.75,200,500000,SigType.DICHOTOMY,2340.389,47.599,7701.59,888736,888736
0.5,0.8,200,500000,SigType.DICHOTOMY,1678.145,47.599,7701.59,673929,673929
0.5,0.85,200,500000,SigType.DICHOTOMY,1374.518,47.599,7701.59,517483,517483
0.75,0.7,200,500000,SigType.WEIGHTED,1354.402,47.599,7701.59,622080,622080
0.75,0.75,200,500000,SigType.WEIGHTED,1187.603,47.599,7701.59,575078,575078
0.75,0.8,200,500000,SigType.WEIGHTED,971.469,47.599,7701.59,479650,479650
0.75,0.85,200,500000,SigType.WEIGHTED,822.075,47.599,7701.59,423078,423078
