similarity_threshold,related_threshold,reference_set_amount,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage,candidates_amount,candidates_amount_after_filtering
0.0,0.7,10,100000,NO FILTER,41.04,7.701,1496.348,6798,6798
0.0,0.75,10,100000,NO FILTER,37.36,7.701,1496.348,6394,6394
0.0,0.8,10,100000,NO FILTER,26.435,7.701,1496.348,4792,4792
0.0,0.85,10,100000,NO FILTER,17.579,7.701,1496.348,4155,4155
0.0,0.7,10,100000,CHECK FILTER,41.796,7.701,1496.348,6798,6798
0.0,0.75,10,100000,CHECK FILTER,36.437,7.701,1496.348,6394,6394
0.0,0.8,10,100000,CHECK FILTER,14.782,7.701,1496.348,4792,3942
0.0,0.85,10,100000,CHECK FILTER,13.216,7.701,1496.348,4155,3712
0.0,0.7,10,100000,NN FILTER,2.085,7.701,1496.348,6798,2264
0.0,0.75,10,100000,NN FILTER,2.061,7.701,1496.348,6394,2263
0.0,0.8,10,100000,NN FILTER,1.883,7.701,1496.348,4792,2259
0.0,0.85,10,100000,NN FILTER,1.76,7.701,1496.348,4155,2057
0.25,0.7,10,100000,NO FILTER,13.639,7.701,1496.348,6798,6798
0.25,0.75,10,100000,NO FILTER,12.309,7.701,1496.348,6394,6394
0.25,0.8,10,100000,NO FILTER,8.551,7.701,1496.348,4792,4792
0.25,0.85,10,100000,NO FILTER,6.579,7.701,1496.348,4155,4155
0.25,0.7,10,100000,CHECK FILTER,15.959,7.701,1496.348,6798,6798
0.25,0.75,10,100000,CHECK FILTER,12.447,7.701,1496.348,6394,6394
0.25,0.8,10,100000,CHECK FILTER,5.807,7.701,1496.348,4792,3942
0.25,0.85,10,100000,CHECK FILTER,5.004,7.701,1496.348,4155,3712
0.25,0.7,10,100000,NN FILTER,1.996,7.701,1496.348,6798,2264
0.25,0.75,10,100000,NN FILTER,1.865,7.701,1496.348,6394,2263
0.25,0.8,10,100000,NN FILTER,1.643,7.701,1496.348,4792,2259
0.25,0.85,10,100000,NN FILTER,1.497,7.701,1496.348,4155,2057
0.5,0.7,10,100000,NO FILTER,11.454,7.701,1496.348,6798,6798
0.5,0.75,10,100000,NO FILTER,11.009,7.701,1496.348,6394,6394
0.5,0.8,10,100000,NO FILTER,7.666,7.701,1496.348,4792,4792
0.5,0.85,10,100000,NO FILTER,6.077,7.701,1496.348,4155,4155
0.5,0.7,10,100000,CHECK FILTER,14.628,7.701,1496.348,6798,6798
0.5,0.75,10,100000,CHECK FILTER,10.647,7.701,1496.348,6394,6394
0.5,0.8,10,100000,CHECK FILTER,4.963,7.701,1496.348,4792,3942
0.5,0.85,10,100000,CHECK FILTER,4.301,7.701,1496.348,4155,3712
0.5,0.7,10,100000,NN FILTER,2.055,7.701,1496.348,6798,2264
0.5,0.75,10,100000,NN FILTER,1.902,7.701,1496.348,6394,2263
0.5,0.8,10,100000,NN FILTER,1.673,7.701,1496.348,4792,2259
0.5,0.85,10,100000,NN FILTER,1.491,7.701,1496.348,4155,2057
0.75,0.7,10,100000,NO FILTER,11.783,7.701,1496.348,6798,6798
0.75,0.75,10,100000,NO FILTER,10.894,7.701,1496.348,6394,6394
0.75,0.8,10,100000,NO FILTER,9.598,7.701,1496.348,4792,4792
0.75,0.85,10,100000,NO FILTER,5.304,7.701,1496.348,4155,4155
0.75,0.7,10,100000,CHECK FILTER,11.847,7.701,1496.348,6798,6798
0.75,0.75,10,100000,CHECK FILTER,10.735,7.701,1496.348,6394,6394
0.75,0.8,10,100000,CHECK FILTER,5.036,7.701,1496.348,4792,3942
0.75,0.85,10,100000,CHECK FILTER,4.469,7.701,1496.348,4155,3712
0.75,0.7,10,100000,NN FILTER,2.047,7.701,1496.348,6798,2264
0.75,0.75,10,100000,NN FILTER,1.895,7.701,1496.348,6394,2263
0.75,0.8,10,100000,NN FILTER,1.667,7.701,1496.348,4792,2259
0.75,0.85,10,100000,NN FILTER,1.491,7.701,1496.348,4155,2057
