similarity_threshold,related_threshold,source_set_amount,set_size,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.0,0.7,12000,12000,162.511,1.149,10.633
0.0,0.7,24000,24000,629.266,0.912,-14.359
0.0,0.7,36000,36000,1448.696,1.047,-3.805
0.0,0.7,48000,48000,2589.084,0.36,8.324
0.0,0.7,60000,60000,4018.602,1.276,30.07
0.0,0.75,12000,12000,156.237,0.079,0.0
0.0,0.75,24000,24000,601.804,0.166,0.0
0.0,0.75,36000,36000,1391.051,0.258,14.434
0.0,0.75,48000,48000,2485.407,1.142,23.73
0.0,0.75,60000,60000,3865.861,1.259,20.078
0.0,0.8,12000,12000,150.844,0.075,0.0
0.0,0.8,24000,24000,579.687,0.169,0.0
0.0,0.8,36000,36000,1337.54,0.259,6.953
0.0,0.8,48000,48000,2393.576,0.365,29.129
0.0,0.8,60000,60000,3731.672,1.298,29.992
0.0,0.85,12000,12000,146.417,0.077,0.0
0.0,0.85,24000,24000,565.317,0.903,-2.0
0.0,0.85,36000,36000,1303.856,1.025,7.91
0.0,0.85,48000,48000,2328.478,1.158,11.004
0.0,0.85,60000,60000,3636.522,1.285,28.184
