similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.0,0.7,60000,SigType.WEIGHTED,5355.864,1.44,96.559
0.0,0.75,60000,SigType.WEIGHTED,4770.741,1.44,96.559
0.0,0.8,60000,SigType.WEIGHTED,4016.552,1.44,96.559
0.0,0.85,60000,SigType.WEIGHTED,3652.589,1.44,96.559
0.0,0.7,60000,SigType.SKYLINE,5320.789,1.44,96.559
0.0,0.75,60000,SigType.SKYLINE,4754.873,1.44,96.559
0.0,0.8,60000,SigType.SKYLINE,3993.905,1.44,96.559
0.0,0.85,60000,SigType.SKYLINE,3637.896,1.44,96.559
0.0,0.7,60000,SigType.DICHOTOMY,5314.17,1.44,96.559
0.0,0.75,60000,SigType.DICHOTOMY,4747.451,1.44,96.559
0.0,0.8,60000,SigType.DICHOTOMY,3987.966,1.44,96.559
0.0,0.85,60000,SigType.DICHOTOMY,3639.406,1.44,96.559
0.25,0.7,60000,SigType.WEIGHTED,5286.204,1.44,96.559
0.25,0.75,60000,SigType.WEIGHTED,4740.2,1.44,96.559
0.25,0.8,60000,SigType.WEIGHTED,3988.353,1.44,96.559
0.25,0.85,60000,SigType.WEIGHTED,3621.661,1.44,96.559
0.25,0.7,60000,SigType.SKYLINE,5272.151,1.44,96.559
0.25,0.75,60000,SigType.SKYLINE,4793.404,1.44,96.559
0.25,0.8,60000,SigType.SKYLINE,4270.868,1.44,96.559
0.25,0.85,60000,SigType.SKYLINE,3897.66,1.44,96.559
0.25,0.7,60000,SigType.DICHOTOMY,5280.093,1.44,96.559
0.25,0.75,60000,SigType.DICHOTOMY,4728.997,1.44,96.559
0.25,0.8,60000,SigType.DICHOTOMY,3971.004,1.44,96.559
0.25,0.85,60000,SigType.DICHOTOMY,3612.607,1.44,96.559
