similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.0,0.7,2000,NO FILTER,4.463,0.101,2.5
0.0,0.75,2000,NO FILTER,3.75,0.101,2.5
0.0,0.8,2000,NO FILTER,3.316,0.101,2.5
0.0,0.85,2000,NO FILTER,3.783,0.101,2.5
0.0,0.7,2000,CHECK FILTER,6.114,0.101,2.5
0.0,0.75,2000,CHECK FILTER,5.055,0.101,2.5
0.0,0.8,2000,CHECK FILTER,4.685,0.101,2.5
0.0,0.85,2000,CHECK FILTER,4.007,0.101,2.5
0.0,0.7,2000,NN FILTER,4.382,0.101,2.5
0.0,0.75,2000,NN FILTER,3.827,0.101,2.5
0.0,0.8,2000,NN FILTER,3.83,0.101,2.5
0.0,0.85,2000,NN FILTER,3.379,0.101,2.5
0.25,0.7,2000,NO FILTER,5.706,0.101,2.5
0.25,0.75,2000,NO FILTER,5.367,0.101,2.5
0.25,0.8,2000,NO FILTER,4.328,0.101,2.5
0.25,0.85,2000,NO FILTER,3.341,0.101,2.5
0.25,0.7,2000,CHECK FILTER,5.736,0.101,2.5
0.25,0.75,2000,CHECK FILTER,5.056,0.101,2.5
0.25,0.8,2000,CHECK FILTER,4.154,0.101,2.5
0.25,0.85,2000,CHECK FILTER,2.831,0.101,2.5
0.25,0.7,2000,NN FILTER,3.301,0.101,2.5
0.25,0.75,2000,NN FILTER,3.151,0.101,2.5
0.25,0.8,2000,NN FILTER,3.035,0.101,2.5
0.25,0.85,2000,NN FILTER,2.841,0.101,2.5
0.5,0.7,2000,NO FILTER,4.107,0.101,2.5
0.5,0.75,2000,NO FILTER,3.631,0.101,2.5
0.5,0.8,2000,NO FILTER,3.062,0.101,2.5
0.5,0.85,2000,NO FILTER,2.742,0.101,2.5
0.5,0.7,2000,CHECK FILTER,4.365,0.101,2.5
0.5,0.75,2000,CHECK FILTER,3.856,0.101,2.5
0.5,0.8,2000,CHECK FILTER,3.236,0.101,2.5
0.5,0.85,2000,CHECK FILTER,2.895,0.101,2.5
0.5,0.7,2000,NN FILTER,3.235,0.101,2.5
0.5,0.75,2000,NN FILTER,2.998,0.101,2.5
0.5,0.8,2000,NN FILTER,2.975,0.101,2.5
0.5,0.85,2000,NN FILTER,2.842,0.101,2.5
0.75,0.7,2000,NO FILTER,4.471,0.101,2.5
0.75,0.75,2000,NO FILTER,4.465,0.101,2.5
0.75,0.8,2000,NO FILTER,4.515,0.101,2.5
0.75,0.85,2000,NO FILTER,3.723,0.101,2.5
0.75,0.7,2000,CHECK FILTER,5.673,0.101,2.5
0.75,0.75,2000,CHECK FILTER,4.914,0.101,2.5
0.75,0.8,2000,CHECK FILTER,4.341,0.101,2.5
0.75,0.85,2000,CHECK FILTER,4.065,0.101,2.5
0.75,0.7,2000,NN FILTER,4.691,0.101,2.5
0.75,0.75,2000,NN FILTER,4.276,0.101,2.5
0.75,0.8,2000,NN FILTER,3.748,0.101,2.5
0.75,0.85,2000,NN FILTER,4.259,0.101,2.5
