similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.8,0.7,10000,NO FILTER,3180.351,0.686,63.961
0.8,0.75,10000,NO FILTER,2729.108,0.686,63.961
0.8,0.8,10000,NO FILTER,2185.09,0.686,63.961
0.8,0.85,10000,NO FILTER,1542.041,0.686,63.961
0.8,0.7,10000,CHECK FILTER,2329.334,0.686,63.961
0.8,0.75,10000,CHECK FILTER,2012.022,0.686,63.961
0.8,0.8,10000,CHECK FILTER,1609.739,0.686,63.961
0.8,0.85,10000,CHECK FILTER,1140.994,0.686,63.961
0.8,0.7,10000,NN FILTER,448.129,0.686,63.961
0.8,0.75,10000,NN FILTER,388.975,0.686,63.961
0.8,0.8,10000,NN FILTER,315.568,0.686,63.961
0.8,0.85,10000,NN FILTER,232.207,0.686,63.961
