similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.8,0.7,10000,SigType.WEIGHTED,3215.981,0.686,64.16
0.8,0.75,10000,SigType.WEIGHTED,2754.485,0.686,64.16
0.8,0.8,10000,SigType.WEIGHTED,2201.524,0.686,64.16
0.8,0.85,10000,SigType.WEIGHTED,1558.372,0.686,64.16
0.8,0.7,10000,SigType.SKYLINE,3200.56,0.686,64.16
0.8,0.75,10000,SigType.SKYLINE,2757.303,0.686,64.16
0.8,0.8,10000,SigType.SKYLINE,55.38,0.686,64.16
0.8,0.85,10000,SigType.SKYLINE,20.134,0.686,64.16
0.8,0.7,10000,SigType.DICHOTOMY,3151.663,0.686,64.16
0.8,0.75,10000,SigType.DICHOTOMY,2613.546,0.686,64.16
0.8,0.8,10000,SigType.DICHOTOMY,52.873,0.686,64.16
0.8,0.85,10000,SigType.DICHOTOMY,19.331,0.686,64.16
