similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.7,0.7,3000,NO FILTER,10.422,0.022,9.512
0.7,0.75,3000,NO FILTER,6.849,0.022,9.512
0.7,0.8,3000,NO FILTER,3.986,0.022,9.512
0.7,0.85,3000,NO FILTER,2.243,0.022,9.512
0.7,0.7,3000,CHECK FILTER,11.356,0.022,9.512
0.7,0.75,3000,CHECK FILTER,7.088,0.022,9.512
0.7,0.8,3000,CHECK FILTER,4.282,0.022,9.512
0.7,0.85,3000,CHECK FILTER,2.647,0.022,9.512
0.7,0.7,3000,NN FILTER,1.806,0.022,9.512
0.7,0.75,3000,NN FILTER,1.753,0.022,9.512
0.7,0.8,3000,NN FILTER,1.496,0.022,9.512
0.7,0.85,3000,NN FILTER,1.508,0.022,9.512
0.75,0.7,3000,NO FILTER,10.662,0.022,9.512
0.75,0.75,3000,NO FILTER,7.043,0.022,9.512
0.75,0.8,3000,NO FILTER,4.433,0.022,9.512
0.75,0.85,3000,NO FILTER,2.713,0.022,9.512
0.75,0.7,3000,CHECK FILTER,13.681,0.022,9.512
0.75,0.75,3000,CHECK FILTER,9.157,0.022,9.512
0.75,0.8,3000,CHECK FILTER,5.452,0.022,9.512
0.75,0.85,3000,CHECK FILTER,3.241,0.022,9.512
0.75,0.7,3000,NN FILTER,2.138,0.022,9.512
0.75,0.75,3000,NN FILTER,2.176,0.022,9.512
0.75,0.8,3000,NN FILTER,1.627,0.022,9.512
0.75,0.85,3000,NN FILTER,1.566,0.022,9.512
0.8,0.7,3000,NO FILTER,11.038,0.022,9.512
0.8,0.75,3000,NO FILTER,6.891,0.022,9.512
0.8,0.8,3000,NO FILTER,4.124,0.022,9.512
0.8,0.85,3000,NO FILTER,2.317,0.022,9.512
0.8,0.7,3000,CHECK FILTER,11.203,0.022,9.512
0.8,0.75,3000,CHECK FILTER,6.885,0.022,9.512
0.8,0.8,3000,CHECK FILTER,4.172,0.022,9.512
0.8,0.85,3000,CHECK FILTER,2.65,0.022,9.512
0.8,0.7,3000,NN FILTER,1.845,0.022,9.512
0.8,0.75,3000,NN FILTER,1.686,0.022,9.512
0.8,0.8,3000,NN FILTER,1.658,0.022,9.512
0.8,0.85,3000,NN FILTER,1.475,0.022,9.512
0.85,0.7,3000,NO FILTER,10.576,0.022,9.512
0.85,0.75,3000,NO FILTER,6.683,0.022,9.512
0.85,0.8,3000,NO FILTER,3.935,0.022,9.512
0.85,0.85,3000,NO FILTER,2.296,0.022,9.512
0.85,0.7,3000,CHECK FILTER,10.634,0.022,9.512
0.85,0.75,3000,CHECK FILTER,7.09,0.022,9.512
0.85,0.8,3000,CHECK FILTER,5.377,0.022,9.512
0.85,0.85,3000,CHECK FILTER,2.872,0.022,9.512
0.85,0.7,3000,NN FILTER,2.486,0.022,9.512
0.85,0.75,3000,NN FILTER,2.388,0.022,9.512
0.85,0.8,3000,NN FILTER,2.332,0.022,9.512
0.85,0.85,3000,NN FILTER,2.014,0.022,9.512
