similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.7,0.7,5000,NO FILTER,3145.41,0.391,28.309
0.7,0.75,5000,NO FILTER,2687.395,0.391,28.309
0.7,0.8,5000,NO FILTER,2244.686,0.391,28.309
0.7,0.85,5000,NO FILTER,1650.297,0.391,28.309
0.7,0.7,5000,CHECK FILTER,4118.279,0.391,28.309
0.7,0.75,5000,CHECK FILTER,3601.918,0.391,28.309
0.7,0.8,5000,CHECK FILTER,2874.443,0.391,28.309
0.7,0.85,5000,CHECK FILTER,2044.612,0.391,28.309
0.7,0.7,5000,NN FILTER,630.678,0.391,28.309
0.7,0.75,5000,NN FILTER,562.722,0.391,28.309
0.7,0.8,5000,NN FILTER,483.175,0.391,28.309
0.7,0.85,5000,NN FILTER,394.221,0.391,28.309
0.75,0.7,5000,NO FILTER,2189.373,0.391,28.309
0.75,0.75,5000,NO FILTER,1891.061,0.391,28.309
0.75,0.8,5000,NO FILTER,1516.5,0.391,28.309
0.75,0.85,5000,NO FILTER,1073.123,0.391,28.309
0.75,0.7,5000,CHECK FILTER,2222.872,0.391,28.309
0.75,0.75,5000,CHECK FILTER,1913.937,0.391,28.309
0.75,0.8,5000,CHECK FILTER,1542.112,0.391,28.309
0.75,0.85,5000,CHECK FILTER,1086.385,0.391,28.309
0.75,0.7,5000,NN FILTER,304.748,0.391,28.309
0.75,0.75,5000,NN FILTER,265.773,0.391,28.309
0.75,0.8,5000,NN FILTER,217.404,0.391,28.309
0.75,0.85,5000,NN FILTER,162.876,0.391,28.309
0.8,0.7,5000,NO FILTER,858.698,0.391,28.309
0.8,0.75,5000,NO FILTER,745.085,0.391,28.309
0.8,0.8,5000,NO FILTER,596.28,0.391,28.309
0.8,0.85,5000,NO FILTER,421.34,0.391,28.309
0.8,0.7,5000,CHECK FILTER,636.886,0.391,28.309
0.8,0.75,5000,CHECK FILTER,550.521,0.391,28.309
0.8,0.8,5000,CHECK FILTER,443.218,0.391,28.309
0.8,0.85,5000,CHECK FILTER,313.208,0.391,28.309
0.8,0.7,5000,NN FILTER,120.012,0.391,28.309
0.8,0.75,5000,NN FILTER,103.497,0.391,28.309
0.8,0.8,5000,NN FILTER,85.033,0.391,28.309
0.8,0.85,5000,NN FILTER,62.035,0.391,28.309
0.85,0.7,5000,NO FILTER,446.251,0.391,28.309
0.85,0.75,5000,NO FILTER,386.611,0.391,28.309
0.85,0.8,5000,NO FILTER,309.98,0.391,28.309
0.85,0.85,5000,NO FILTER,217.511,0.391,28.309
0.85,0.7,5000,CHECK FILTER,364.622,0.391,28.309
0.85,0.75,5000,CHECK FILTER,323.038,0.391,28.309
0.85,0.8,5000,CHECK FILTER,263.697,0.391,28.309
0.85,0.85,5000,CHECK FILTER,184.893,0.391,28.309
0.85,0.7,5000,NN FILTER,72.101,0.391,28.309
0.85,0.75,5000,NN FILTER,62.971,0.391,28.309
0.85,0.8,5000,NN FILTER,51.582,0.391,28.309
0.85,0.85,5000,NN FILTER,35.586,0.391,28.309
