similarity_threshold,related_threshold,source_set_amount,set_size,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.8,0.7,2500,2500,20.354,0.269,9.504
0.8,0.7,5000,5000,113.087,0.29,11.926
0.8,0.7,10000,10000,454.182,0.516,28.629
0.8,0.7,20000,20000,1579.457,1.158,55.445
0.8,0.7,40000,40000,9424.586,2.476,204.078
0.8,0.75,2500,2500,17.996,0.076,0.0
0.8,0.75,5000,5000,99.042,0.311,-0.984
0.8,0.75,10000,10000,397.007,0.666,23.434
0.8,0.75,20000,20000,1373.817,1.13,67.41
0.8,0.75,20000,20000,1360.908,1.176,133.656
0.8,0.8,20000,20000,1108.245,1.121,60.602
0.8,0.85,20000,20000,826.474,0.952,49.543
0.8,0.75,40000,40000,8340.751,2.489,166.387
0.8,0.8,2500,2500,14.693,0.076,0.0
0.8,0.8,5000,5000,81.646,0.299,-4.938
0.8,0.8,10000,10000,324.125,0.526,20.617
0.8,0.8,20000,20000,1114.55,1.36,68.348
0.8,0.8,40000,40000,6704.746,2.626,212.395
0.8,0.85,2500,2500,11.171,0.169,-86.672
0.8,0.85,5000,5000,59.849,0.17,0.0
0.8,0.85,10000,10000,237.911,0.67,35.836
0.8,0.85,20000,20000,825.885,1.155,59.43
0.8,0.85,40000,40000,4904.373,2.558,198.414
