similarity_threshold,related_threshold,source_set_amount,label,elapsed_time,inverted_index_time,inverted_index_ram_usage
0.7,0.7,5000,SigType.WEIGHTED,3142.821,0.377,28.309
0.7,0.75,5000,SigType.WEIGHTED,2682.225,0.377,28.309
0.7,0.8,5000,SigType.WEIGHTED,2239.236,0.377,28.309
0.7,0.85,5000,SigType.WEIGHTED,1645.65,0.377,28.309
0.7,0.7,5000,SigType.SKYLINE,2961.813,0.377,28.309
0.7,0.75,5000,SigType.SKYLINE,2370.479,0.377,28.309
0.7,0.8,5000,SigType.SKYLINE,1638.268,0.377,28.309
0.7,0.85,5000,SigType.SKYLINE,873.634,0.377,28.309
0.7,0.7,5000,SigType.DICHOTOMY,2971.812,0.377,28.309
0.7,0.75,5000,SigType.DICHOTOMY,2330.936,0.377,28.309
0.7,0.8,5000,SigType.DICHOTOMY,1601.018,0.377,28.309
0.7,0.85,5000,SigType.DICHOTOMY,850.349,0.377,28.309
0.75,0.7,5000,SigType.WEIGHTED,2191.563,0.377,28.309
0.75,0.75,5000,SigType.WEIGHTED,1893.747,0.377,28.309
0.75,0.8,5000,SigType.WEIGHTED,1521.498,0.377,28.309
0.75,0.85,5000,SigType.WEIGHTED,1067.3,0.377,28.309
0.75,0.7,5000,SigType.SKYLINE,2194.143,0.377,28.309
0.75,0.75,5000,SigType.SKYLINE,1885.513,0.377,28.309
0.75,0.8,5000,SigType.SKYLINE,243.915,0.377,28.309
0.75,0.85,5000,SigType.SKYLINE,76.608,0.377,28.309
0.75,0.7,5000,SigType.DICHOTOMY,2193.586,0.377,28.309
0.75,0.75,5000,SigType.DICHOTOMY,1891.043,0.377,28.309
0.75,0.8,5000,SigType.DICHOTOMY,243.111,0.377,28.309
0.75,0.85,5000,SigType.DICHOTOMY,76.276,0.377,28.309
0.8,0.7,5000,SigType.WEIGHTED,863.808,0.377,28.309
0.8,0.75,5000,SigType.WEIGHTED,741.957,0.377,28.309
0.8,0.8,5000,SigType.WEIGHTED,593.837,0.377,28.309
0.8,0.85,5000,SigType.WEIGHTED,417.66,0.377,28.309
0.8,0.7,5000,SigType.SKYLINE,856.288,0.377,28.309
0.8,0.75,5000,SigType.SKYLINE,740.398,0.377,28.309
0.8,0.8,5000,SigType.SKYLINE,16.179,0.377,28.309
0.8,0.85,5000,SigType.SKYLINE,6.176,0.377,28.309
0.8,0.7,5000,SigType.DICHOTOMY,874.258,0.377,28.309
0.8,0.75,5000,SigType.DICHOTOMY,745.18,0.377,28.309
0.8,0.8,5000,SigType.DICHOTOMY,15.214,0.377,28.309
0.8,0.85,5000,SigType.DICHOTOMY,5.962,0.377,28.309
0.85,0.7,5000,SigType.WEIGHTED,428.452,0.377,28.309
0.85,0.75,5000,SigType.WEIGHTED,360.578,0.377,28.309
0.85,0.8,5000,SigType.WEIGHTED,290.172,0.377,28.309
0.85,0.85,5000,SigType.WEIGHTED,200.998,0.377,28.309
0.85,0.7,5000,SigType.SKYLINE,411.051,0.377,28.309
0.85,0.75,5000,SigType.SKYLINE,359.539,0.377,28.309
0.85,0.8,5000,SigType.SKYLINE,285.937,0.377,28.309
0.85,0.85,5000,SigType.SKYLINE,3.169,0.377,28.309
0.85,0.7,5000,SigType.DICHOTOMY,416.254,0.377,28.309
0.85,0.75,5000,SigType.DICHOTOMY,383.443,0.377,28.309
0.85,0.8,5000,SigType.DICHOTOMY,288.102,0.377,28.309
0.85,0.85,5000,SigType.DICHOTOMY,3.283,0.377,28.309
